,day,icon,Trip ID,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed,Trip Seconds,Trip Miles,Fare,Trip Total
117,2013-03-30,clear,1,0.0,0.0,31.38,31.38,0.0,1020.0,3.3,15.25,16.75
118,2013-03-31,clear,2,0.0,0.0,51.25,49.855000000000004,6.87,1320.0,2.15,32.345,39.67
119,2013-03-31,cloudy,1,0.0,0.0,45.54,43.8,3.9,1680.0,0.0,31.05,33.05
120,2013-03-31,partly cloudy,1,0.0,0.0,44.89,42.29,4.89,1440.0,0.3,16.65,17.65
121,2013-04-01,partly cloudy,1,0.0,0.0,34.76,29.24,6.38,180.0,0.1,4.25,5.25
122,2013-04-02,clear,4,0.0,0.0,28.855,25.817500000000003,3.4724999999999997,825.0,3.38,11.549999999999999,13.715
123,2013-04-03,clear,4,0.0,0.0,32.445,31.0375,2.2625,765.0,5.4750000000000005,14.450000000000001,15.700000000000001
124,2013-04-04,clear,1,0.0,0.0,29.28,29.28,1.02,960.0,3.4,11.45,11.45
125,2013-04-04,partly cloudy,2,0.0,0.0,35.980000000000004,34.555,2.835,450.0,3.0,6.45,6.45
126,2013-04-05,clear,7,0.0,0.0,42.68142857142857,39.175714285714285,5.7299999999999995,600.0,1.9857142857142858,8.964285714285714,10.54142857142857
127,2013-04-06,partly cloudy,6,0.0,0.0,45.27666666666667,42.84666666666667,6.89,900.0,3.65,13.616666666666667,15.711666666666668
128,2013-04-07,clear,1,0.0,0.0,54.15,54.15,2.71,240.0,0.0,5.05,6.05
129,2013-04-07,cloudy,3,0.00013333333333333334,0.02666666666666667,50.669999999999995,48.5,7.703333333333333,340.0,0.26666666666666666,6.25,7.583333333333333
130,2013-04-07,partly cloudy,2,0.0,0.0,47.33,46.085,4.6,1080.0,4.95,19.55,22.049999999999997
131,2013-04-08,clear,1,0.0,0.0,40.98,39.44,3.03,780.0,0.3,14.05,14.05
132,2013-04-08,partly cloudy,1,0.0,0.0,43.86,42.26,3.46,0.0,0.0,33.0,33.0
133,2013-04-08,rain,2,0.01745,0.88,57.230000000000004,57.230000000000004,9.765,270.0,0.0,5.65,5.65
134,2013-04-10,cloudy,1,0.0,0.0,40.82,37.01,5.58,960.0,0.1,9.85,9.85
135,2013-04-10,rain,2,0.0231,0.6,40.17,36.955,4.645,630.0,0.35,11.850000000000001,13.625
136,2013-04-11,cloudy,3,0.0026999999999999997,0.42333333333333334,40.19333333333333,36.12333333333333,5.8,780.0,1.26,8.716666666666667,10.516666666666666
137,2013-04-11,rain,4,0.046650000000000004,0.8325,40.0175,35.3225,6.8025,465.0,0.42500000000000004,10.5,11.75
138,2013-04-12,cloudy,7,0.00012857142857142858,0.018571428571428572,40.434285714285714,36.23857142857143,6.105714285714286,462.85714285714283,0.6,7.992857142857143,8.135714285714286
139,2013-04-13,cloudy,2,0.0001,0.015,37.67,32.254999999999995,7.1850000000000005,480.0,1.2,7.25,8.5
140,2013-04-14,cloudy,4,0.0,0.0,39.647499999999994,38.232499999999995,2.6624999999999996,525.0,0.9,7.65,8.65
141,2013-04-14,partly cloudy,1,0.0,0.0,51.35,51.35,5.87,660.0,6.4,15.45,19.74
142,2013-04-15,cloudy,2,0.0,0.0,60.39,60.39,10.024999999999999,780.0,0.6,16.05,21.725
143,2013-04-16,partly cloudy,3,0.0,0.0,43.68000000000001,43.45000000000001,2.236666666666667,1320.0,3.766666666666667,15.516666666666666,16.016666666666666
144,2013-04-17,cloudy,4,0.0,0.0,43.022499999999994,39.7125,5.467499999999999,495.0,1.45,7.7975,8.297500000000001
145,2013-04-17,partly cloudy,1,0.0,0.0,42.29,38.22,6.43,300.0,0.0,5.25,7.25
146,2013-04-17,rain,2,0.01715,0.575,44.01,40.535,6.005,1050.0,1.25,28.25,29.75
147,2013-04-18,rain,6,0.15506666666666666,0.9800000000000001,52.72166666666667,52.72166666666667,2.19,550.0,1.2,8.516666666666667,9.016666666666667
148,2013-04-19,cloudy,3,0.0,0.0,37.919999999999995,30.843333333333334,10.523333333333333,680.0,6.633333333333333,15.383333333333333,18.826666666666664
149,2013-04-20,clear,8,9.999999999999999e-05,0.017499999999999998,35.629999999999995,30.985,5.4525,532.5,1.5999999999999999,8.225,8.975
150,2013-04-20,cloudy,2,0.0,0.0,33.88,28.33,6.19,270.0,0.3,5.25,6.25
151,2013-04-21,clear,5,0.0,0.0,34.444,34.444,1.6640000000000001,948.0,0.86,14.37,15.469999999999999
152,2013-04-21,partly cloudy,1,0.0,0.0,43.6,40.37,5.48,540.0,2.6,8.65,12.65
153,2013-04-22,clear,1,0.0,0.0,55.47,55.47,5.09,1980.0,14.46,32.05,32.55
154,2013-04-22,partly cloudy,3,0.0,0.0,48.98666666666667,47.44,4.633333333333334,540.0,0.5333333333333333,7.783333333333334,8.783333333333333
155,2013-04-23,cloudy,2,0.00035,0.1,58.629999999999995,58.629999999999995,4.525,330.0,0.0,5.55,5.55
156,2013-04-23,partly cloudy,1,0.0,0.0,57.84,57.84,4.67,720.0,0.21,9.05,9.05
157,2013-04-23,rain,1,0.0155,0.54,56.36,56.36,3.19,300.0,0.8,5.05,5.05
158,2013-04-24,cloudy,4,0.0021000000000000003,0.27,37.925,34.1075,4.930000000000001,525.0,0.925,7.6000000000000005,8.100000000000001
159,2013-04-24,partly cloudy,1,0.0,0.0,43.88,40.78,5.36,540.0,0.0,7.45,7.45
160,2013-04-24,rain,1,0.0161,0.89,38.24,34.3,5.13,420.0,0.1,8.25,8.25
161,2013-04-25,partly cloudy,4,0.0,0.0,43.9325,39.4675,7.8275,540.0,2.625,9.3,10.8
162,2013-04-26,clear,2,0.0,0.0,39.485,39.485,1.44,300.0,0.0,6.25,6.25
163,2013-04-26,partly cloudy,3,0.0,0.0,58.67666666666667,58.67666666666667,8.646666666666667,640.0,0.03333333333333333,10.316666666666666,10.316666666666666
164,2013-04-27,clear,2,0.0,0.0,48.41,48.41,0.965,330.0,1.45,7.35,7.85
165,2013-04-27,partly cloudy,2,0.0,0.0,63.945,63.945,4.04,570.0,2.85,9.65,11.65
166,2013-04-28,cloudy,4,0.00015,0.02,56.832499999999996,56.832499999999996,2.225,645.0,2.4,10.2,10.7
167,2013-04-28,rain,1,0.0044,0.44,53.28,53.28,0.28,420.0,1.5,6.45,7.45
168,2013-04-29,clear,2,0.0,0.0,52.83,52.83,2.135,1950.0,0.7,35.150000000000006,40.875
169,2013-04-30,partly cloudy,4,0.0,0.0,70.10249999999999,70.10249999999999,7.6775,510.0,0.0,9.6,11.337499999999999
170,2013-05-01,clear,4,0.0,0.0,71.7,71.7,4.1049999999999995,480.0,1.3,7.05,7.8
171,2013-05-02,partly cloudy,7,0.0,0.0,48.401428571428575,45.871428571428574,5.951428571428571,428.57142857142856,0.4428571428571429,10.328571428571431,10.614285714285716
172,2013-05-03,cloudy,4,0.00185,0.18250000000000002,42.975,39.805,5.2425,660.0,6.5375,12.75,15.0725
173,2013-05-04,clear,1,0.0,0.0,48.21,48.21,0.98,840.0,0.1,10.05,10.05
